Parliament,ParliamentName,State,TotalRegisteredVoters,TotalVotersTurnedOut,VotingPercentage,SpoiledRejectedVotes,UnreturnedBallots,Majority,MalayVoters,PercentageMalayVoters,ChineseVoters,PercentageChineseVoters,IndianVoters,PercentageIndianVoters,IndigenousVoters,PercentageIndigenousVoters,NativeVoters,PercentageNativeVoters,OtherVoters,PercentageOtherVoters,CandidateName,Coalition,Party,TotalCandidatesContested,TotalVotesForCandidate,Won,PreviousMPName,TotalVotesLastElection,LastElectionCoalition,LastElectionMajority,state,Population (Thousands)
P1,padang besar,perlis,60147,46059,76.58,694,0,12514,51775,86.08,4860,8.08,523,0.87,0,0,0,0,3049,5.07,MOHAMAD SAAD @ YAHYA,PH,AMANAH,5,7085,0,ZAHIDI ZAINUL ABIDIN,15032,BN,1438,perlis,9240.3
P1,padang besar,perlis,60147,46059,76.58,694,0,12514,51775,86.08,4860,8.08,523,0.87,0,0,0,0,3049,5.07,ZAHIDA  ZARIK KHAN,BN,UMNO,5,11753,0,ZAHIDI ZAINUL ABIDIN,15032,BN,1438,perlis,9240.3
P1,padang besar,perlis,60147,46059,76.58,694,0,12514,51775,86.08,4860,8.08,523,0.87,0,0,0,0,3049,5.07,RUSHDAN  RUSMI,PN,PAS,5,24267,1,ZAHIDI ZAINUL ABIDIN,15032,BN,1438,perlis,9240.3
P1,padang besar,perlis,60147,46059,76.58,694,0,12514,51775,86.08,4860,8.08,523,0.87,0,0,0,0,3049,5.07,KO CHU LIANG,WARISAN,WARISAN,5,244,0,ZAHIDI ZAINUL ABIDIN,15032,BN,1438,perlis,9240.3
P1,padang besar,perlis,60147,46059,76.58,694,0,12514,51775,86.08,4860,8.08,523,0.87,0,0,0,0,3049,5.07,ZAHIDI ZAINUL ABIDIN,BEBAS,BEBAS,5,1939,0,ZAHIDI ZAINUL ABIDIN,15032,BN,1438,perlis,9240.3
P2,kangar,perlis,74859,56968,76.1,660,0,9192,61085,81.6,11004,14.7,1168,1.56,0,0,0,0,1602,2.14,ZAKRI  HASSAN,PN,BERSATU,5,24562,1,NOOR AMIN AHMAD,20909,PH,5603,perlis,9240.3
P2,kangar,perlis,74859,56968,76.1,660,0,9192,61085,81.6,11004,14.7,1168,1.56,0,0,0,0,1602,2.14,ROHIMI SHAPIEE,WARISAN,WARISAN,5,417,0,NOOR AMIN AHMAD,20909,PH,5603,perlis,9240.3
P2,kangar,perlis,74859,56968,76.1,660,0,9192,61085,81.6,11004,14.7,1168,1.56,0,0,0,0,1602,2.14,NUR SULAIMAN ZOLKAPLI,PEJUANG,PEJUANG,5,708,0,NOOR AMIN AHMAD,20909,PH,5603,perlis,9240.3
P2,kangar,perlis,74859,56968,76.1,660,0,9192,61085,81.6,11004,14.7,1168,1.56,0,0,0,0,1602,2.14,FATHUL BARI  MAT JAHYA,BN,UMNO,5,15370,0,NOOR AMIN AHMAD,20909,PH,5603,perlis,9240.3
P2,kangar,perlis,74859,56968,76.1,660,0,9192,61085,81.6,11004,14.7,1168,1.56,0,0,0,0,1602,2.14,NOOR AMIN AHMAD,PH,PH,5,15143,0,NOOR AMIN AHMAD,20909,PH,5603,perlis,9240.3
P3,arau,perlis,60876,47604,78.2,727,0,23216,53156,87.32,4738,7.78,979,1.61,0,0,0,0,2052,3.37,FATHIN AMELINA FAZLIE,PH,PH,3,7089,0,SHAHIDAN  KASSIM,16547,BN,4856,perlis,9240.3
P3,arau,perlis,60876,47604,78.2,727,0,23216,53156,87.32,4738,7.78,979,1.61,0,0,0,0,2052,3.37,SHAHIDAN  KASSIM,PN, BERSATU,3,31458,1,SHAHIDAN  KASSIM,16547,BN,4856,perlis,9240.3
P3,arau,perlis,60876,47604,78.2,727,0,23216,53156,87.32,4738,7.78,979,1.61,0,0,0,0,2052,3.37,ROZABIL  ABDUL RAHMAN,BN,UMNO,3,8242,0,SHAHIDAN  KASSIM,16547,BN,4856,perlis,9240.3
P4,langkawi,kedah,66636,48123,72.22,508,0,13518,59780,89.71,4502,6.76,1569,2.35,0,0,0,0,821,1.23,TUN DR MAHATHIR MOHAMAD,PEJUANG,PEJUANG,5,4566,0,TUN DR MAHATHIR  MOHAMAD,18954,PH,8893,kedah,69016.2
P4,langkawi,kedah,66636,48123,72.22,508,0,13518,59780,89.71,4502,6.76,1569,2.35,0,0,0,0,821,1.23,ARMISHAH   SIRAJ,BN,UMNO,5,11945,0,TUN DR MAHATHIR  MOHAMAD,18954,PH,8893,kedah,69016.2
P4,langkawi,kedah,66636,48123,72.22,508,0,13518,59780,89.71,4502,6.76,1569,2.35,0,0,0,0,821,1.23,SUHAIMI   ABDULLAH,PN,BERSATU,5,25463,1,TUN DR MAHATHIR  MOHAMAD,18954,PH,8893,kedah,69016.2
P4,langkawi,kedah,66636,48123,72.22,508,0,13518,59780,89.71,4502,6.76,1569,2.35,0,0,0,0,821,1.23,ZABIDI YAHYA,PH,AMANAH,5,5417,0,TUN DR MAHATHIR  MOHAMAD,18954,PH,8893,kedah,69016.2
P4,langkawi,kedah,66636,48123,72.22,508,0,13518,59780,89.71,4502,6.76,1569,2.35,0,0,0,0,821,1.23,ABDUL KADIR SAINUDIN,BEBAS,BEBAS,5,89,0,TUN DR MAHATHIR  MOHAMAD,18954,PH,8893,kedah,69016.2
P5,jerlun,kedah,67651,52909,78.21,617,0,20456,61404,90.77,4580,6.77,69,0.1,0,0,0,0,1605,2.37,ABD GHANI   AHMAD,PN,PAS,4,31685,1,MUKHRIZ  MAHATHIR,18695,PH,5866,kedah,69016.2
P5,jerlun,kedah,67651,52909,78.21,617,0,20456,61404,90.77,4580,6.77,69,0.1,0,0,0,0,1605,2.37,MUKHRIZ MAHATHIR,PEJUANG,PEJUANG,4,3144,0,MUKHRIZ  MAHATHIR,18695,PH,5866,kedah,69016.2
P5,jerlun,kedah,67651,52909,78.21,617,0,20456,61404,90.77,4580,6.77,69,0.1,0,0,0,0,1605,2.37,MOHAMED FADZIL  MOHD ALI,PH,PKR,4,6149,0,MUKHRIZ  MAHATHIR,18695,PH,5866,kedah,69016.2
P5,jerlun,kedah,67651,52909,78.21,617,0,20456,61404,90.77,4580,6.77,69,0.1,0,0,0,0,1605,2.37,OTHMAN   AZIZ,BN,UMNO,4,11229,0,MUKHRIZ  MAHATHIR,18695,PH,5866,kedah,69016.2
P6,kubang pasu,kedah,108172,84486,78.1,837,247,31584,93034,86.01,9393,8.68,3666,3.39,0,0,0,0,1779,1.64,DATUK KU ABD RAHMAN KU ISMAIL,PN,BERSATU,4,47584,1,AMIRUDDIN  HAMZAH,29984,PH,13009,kedah,69016.2
P6,kubang pasu,kedah,108172,84486,78.1,837,247,31584,93034,86.01,9393,8.68,3666,3.39,0,0,0,0,1779,1.64,MOHD AIZUDDIN ARIFFIN,PH,PKR,4,16000,0,AMIRUDDIN  HAMZAH,29984,PH,13009,kedah,69016.2
P6,kubang pasu,kedah,108172,84486,78.1,837,247,31584,93034,86.01,9393,8.68,3666,3.39,0,0,0,0,1779,1.64,DATUK AMIRUDDIN HAMZAH,PEJUANG,PEJUANG,4,5329,0,AMIRUDDIN  HAMZAH,29984,PH,13009,kedah,69016.2
P6,kubang pasu,kedah,108172,84486,78.1,837,247,31584,93034,86.01,9393,8.68,3666,3.39,0,0,0,0,1779,1.64,DATUK HASMUNI HASSAN,BN,UMNO,4,14489,0,AMIRUDDIN  HAMZAH,29984,PH,13009,kedah,69016.2
P7,padang terap,kedah,59827,49341,82.47,632,80,10959,54814,91.62,783,1.31,82,0.14,0,0,0,0,4148,6.93,RAZALI LEBAI SALLEH,PEJUANG,PEJUANG,4,452,0,MAHDZIR  KHALID,16384,BN,1099,kedah,69016.2
P7,padang terap,kedah,59827,49341,82.47,632,80,10959,54814,91.62,783,1.31,82,0.14,0,0,0,0,4148,6.93,DATUK SERI MAHDZIR KHALID,BN,UMNO,4,17258,0,MAHDZIR  KHALID,16384,BN,1099,kedah,69016.2
P7,padang terap,kedah,59827,49341,82.47,632,80,10959,54814,91.62,783,1.31,82,0.14,0,0,0,0,4148,6.93,MUAZ ABDULLAH,PH,AMANAH,4,2702,0,MAHDZIR  KHALID,16384,BN,1099,kedah,69016.2
P7,padang terap,kedah,59827,49341,82.47,632,80,10959,54814,91.62,783,1.31,82,0.14,0,0,0,0,4148,6.93,NURUL AMIN HAMID,PN,PAS,4,28217,1,MAHDZIR  KHALID,16384,BN,1099,kedah,69016.2
P8,pokok sena,kedah,114774,88976,77.52,823,209,31751,93389,81.37,17433,15.19,2841,2.48,0,0,0,0,1111,0.97,NORAINI MD SALLEH,WARISAN,WARISAN,4,622,0,MAHFUZ OMAR,28959,PH,5558,kedah,69016.2
P8,pokok sena,kedah,114774,88976,77.52,823,209,31751,93389,81.37,17433,15.19,2841,2.48,0,0,0,0,1111,0.97,DATUK AHMAD SAAD @ YAHAYA,PN,PAS,4,52275,1,MAHFUZ OMAR,28959,PH,5558,kedah,69016.2
P8,pokok sena,kedah,114774,88976,77.52,823,209,31751,93389,81.37,17433,15.19,2841,2.48,0,0,0,0,1111,0.97,NORAN ZAMINI JAMALUDDIN,BN,UMNO,4,14523,0,MAHFUZ OMAR,28959,PH,5558,kedah,69016.2
P8,pokok sena,kedah,114774,88976,77.52,823,209,31751,93389,81.37,17433,15.19,2841,2.48,0,0,0,0,1111,0.97,DATUK MAHFUZ OMAR,PH,AMANAH,4,20524,0,MAHFUZ OMAR,28959,PH,5558,kedah,69016.2
P9,alor setar,kedah,106090,77969,73.49,774,209,9931,67097,63.25,33632,31.7,4502,4.24,0,0,0,0,859,0.81,DATUK MOHAMAD NUHAIRI RAHMAT,PEJUANG,PEJUANG,7,2383,0,CHAN MING KAI,32475,PH,15200,kedah,69016.2
P9,alor setar,kedah,106090,77969,73.49,774,209,9931,67097,63.25,33632,31.7,4502,4.24,0,0,0,0,859,0.81,AFNAN HAMIMI TAIB AZAMUDDEN,PN,PAS,7,37486,1,CHAN MING KAI,32475,PH,15200,kedah,69016.2
P9,alor setar,kedah,106090,77969,73.49,774,209,9931,67097,63.25,33632,31.7,4502,4.24,0,0,0,0,859,0.81,FADZIL HANAFI,WARISAN,WARISAN,7,366,0,CHAN MING KAI,32475,PH,15200,kedah,69016.2
P9,alor setar,kedah,106090,77969,73.49,774,209,9931,67097,63.25,33632,31.7,4502,4.24,0,0,0,0,859,0.81,SIMON OOI TZE MIN,PH,PKR,7,27555,0,CHAN MING KAI,32475,PH,15200,kedah,69016.2
P9,alor setar,kedah,106090,77969,73.49,774,209,9931,67097,63.25,33632,31.7,4502,4.24,0,0,0,0,859,0.81,NORDIN YUNUS,BEBAS,BEBAS,7,115,0,CHAN MING KAI,32475,PH,15200,kedah,69016.2
P9,alor setar,kedah,106090,77969,73.49,774,209,9931,67097,63.25,33632,31.7,4502,4.24,0,0,0,0,859,0.81,SOFAN FEROZA MD YUSUP,BEBAS,BEBAS,7,151,0,CHAN MING KAI,32475,PH,15200,kedah,69016.2
P9,alor setar,kedah,106090,77969,73.49,774,209,9931,67097,63.25,33632,31.7,4502,4.24,0,0,0,0,859,0.81,TAN CHEE HIONG,BN,MCA,7,8930,0,CHAN MING KAI,32475,PH,15200,kedah,69016.2
P10,kuala kedah,kedah,132553,101510,76.58,811,0,28061,100702,75.97,29475,22.24,1559,1.18,0,0,0,0,817,0.62,AZMAN   ISMAIL,PH,PKR,5,28237,0,DR AZMAN ISMAIL,36624,PH,13481,kedah,69016.2
P10,kuala kedah,kedah,132553,101510,76.58,811,0,28061,100702,75.97,29475,22.24,1559,1.18,0,0,0,0,817,0.62,SYED ARANIRI SYED AHMAD,WARISAN,WARISAN,5,256,0,DR AZMAN ISMAIL,36624,PH,13481,kedah,69016.2
P10,kuala kedah,kedah,132553,101510,76.58,811,0,28061,100702,75.97,29475,22.24,1559,1.18,0,0,0,0,817,0.62,ULYA AQAMAH HUSAMUDIN,PEJUANG,PEJUANG,5,1805,0,DR AZMAN ISMAIL,36624,PH,13481,kedah,69016.2
P10,kuala kedah,kedah,132553,101510,76.58,811,0,28061,100702,75.97,29475,22.24,1559,1.18,0,0,0,0,817,0.62,AHMAD FAKHRUDDIN FAKHRURAZI,PN,PAS,5,56298,1,DR AZMAN ISMAIL,36624,PH,13481,kedah,69016.2
P10,kuala kedah,kedah,132553,101510,76.58,811,0,28061,100702,75.97,29475,22.24,1559,1.18,0,0,0,0,817,0.62,MASHITAH IBRAHIM,BN,UMNO,5,13879,0,DR AZMAN ISMAIL,36624,PH,13481,kedah,69016.2
P11,pendang,kedah,94621,76381,80.72,650,0,31289,83719,88.48,4478,4.73,471,0.5,0,0,0,0,5944,6.28,AWANG HASHIM,PN,PAS,4,49008,1,AWANG HASHIM,26536,PAS,5808,kedah,69016.2
P11,pendang,kedah,94621,76381,80.72,650,0,31289,83719,88.48,4478,4.73,471,0.5,0,0,0,0,5944,6.28,ZULKIFLY   MOHAMAD,PH,PKR,4,8058,0,AWANG HASHIM,26536,PAS,5808,kedah,69016.2
P11,pendang,kedah,94621,76381,80.72,650,0,31289,83719,88.48,4478,4.73,471,0.5,0,0,0,0,5944,6.28,ABDUL RASHID YOP,PEJUANG,GAGASAN BANGSA,4,809,0,AWANG HASHIM,26536,PAS,5808,kedah,69016.2
P11,pendang,kedah,94621,76381,80.72,650,0,31289,83719,88.48,4478,4.73,471,0.5,0,0,0,0,5944,6.28,SURAYA   YAACOB,BN,UMNO,4,17719,0,AWANG HASHIM,26536,PAS,5808,kedah,69016.2
P12,jerai,kedah,105046,83294,79.29,837,164,33192,84558,80.5,13621,12.97,6301,6,0,0,0,0,566,0.54,ZULHAZMI SHARIFF,PH,DAP,4,15590,0,SABRI AZIT,22312,PAS,539,kedah,69016.2
P12,jerai,kedah,105046,83294,79.29,837,164,33192,84558,80.5,13621,12.97,6301,6,0,0,0,0,566,0.54,DATUK SERI JAMIL KHIR BAHAROM,BN,UMNO,4,16269,0,SABRI AZIT,22312,PAS,539,kedah,69016.2
P12,jerai,kedah,105046,83294,79.29,837,164,33192,84558,80.5,13621,12.97,6301,6,0,0,0,0,566,0.54,SABRI AZIT,PN,PAS,4,49461,1,SABRI AZIT,22312,PAS,539,kedah,69016.2
P12,jerai,kedah,105046,83294,79.29,837,164,33192,84558,80.5,13621,12.97,6301,6,0,0,0,0,566,0.54,DATUK NIZAM MAHSHAR,PEJUANG,GAGASAN BANGSA,4,973,0,SABRI AZIT,22312,PAS,539,kedah,69016.2
P13,sik,kedah,63161,51659,81.79,416,0,21787,58451,92.54,912,1.44,88,0.14,0,0,0,0,3710,5.87,MAIZATULAKMAM  OTHMAN @ IBRAHIM,BN,UMNO,3,12819,0,AHMAD TARMIZI SULAIMAN,20088,PAS,5218,kedah,69016.2
P13,sik,kedah,63161,51659,81.79,416,0,21787,58451,92.54,912,1.44,88,0.14,0,0,0,0,3710,5.87,LATIFAH MD YATIM,PH,DAP,3,3736,0,AHMAD TARMIZI SULAIMAN,20088,PAS,5218,kedah,69016.2
P13,sik,kedah,63161,51659,81.79,416,0,21787,58451,92.54,912,1.44,88,0.14,0,0,0,0,3710,5.87,AHMAD TARMIZI  SULAIMAN,PN,PAS,3,34606,1,AHMAD TARMIZI SULAIMAN,20088,PAS,5218,kedah,69016.2
P14,merbok,kedah,132052,103779,78.59,1027,0,21019,91284,69.13,20176,15.28,18961,14.36,0,0,0,0,1630,1.23,KHAIRUL ANUAR AHMAD,WARISAN,WARISAN,5,525,0,NURIN AINA,30902,PH,10072,kedah,69016.2
P14,merbok,kedah,132052,103779,78.59,1027,0,21019,91284,69.13,20176,15.28,18961,14.36,0,0,0,0,1630,1.23,SHAIFUL HAZIZY BIN ZAINOL ABIDIN,BN,UMNO,5,16691,0,NURIN AINA,30902,PH,10072,kedah,69016.2
P14,merbok,kedah,132052,103779,78.59,1027,0,21019,91284,69.13,20176,15.28,18961,14.36,0,0,0,0,1630,1.23,NURIN AINA,PH,PKR,5,31554,0,NURIN AINA,30902,PH,10072,kedah,69016.2
P14,merbok,kedah,132052,103779,78.59,1027,0,21019,91284,69.13,20176,15.28,18961,14.36,0,0,0,0,1630,1.23,MOHD NAZRI   ABU HASSAN,PN,BERSATU,5,52573,1,NURIN AINA,30902,PH,10072,kedah,69016.2
P14,merbok,kedah,132052,103779,78.59,1027,0,21019,91284,69.13,20176,15.28,18961,14.36,0,0,0,0,1630,1.23,MOHAMED MOSIN ABDUL RAZAK,GTA,IMAN,5,1201,0,NURIN AINA,30902,PH,10072,kedah,69016.2
P15,sungai petani,kedah,168831,131447,77.86,1187,0,1115,103150,61.1,43318,25.66,20957,12.41,0,0,0,0,1406,0.83,MOHAMMED TAUFIQ JOHARI,PH,PKR,5,50580,1,JOHARI ABDUL,45532,PH,21569,kedah,69016.2
P15,sungai petani,kedah,168831,131447,77.86,1187,0,1115,103150,61.1,43318,25.66,20957,12.41,0,0,0,0,1406,0.83,TAN JOON LONG@ TAN CHOW KANG,PRM,PRM,5,226,0,JOHARI ABDUL,45532,PH,21569,kedah,69016.2
P15,sungai petani,kedah,168831,131447,77.86,1187,0,1115,103150,61.1,43318,25.66,20957,12.41,0,0,0,0,1406,0.83,MARZUKI YAHYA,PEJUANG,PEJUANG,5,2342,0,JOHARI ABDUL,45532,PH,21569,kedah,69016.2
P15,sungai petani,kedah,168831,131447,77.86,1187,0,1115,103150,61.1,43318,25.66,20957,12.41,0,0,0,0,1406,0.83,ROBERT LING KUI EE,PN,BERSATU,5,49465,0,JOHARI ABDUL,45532,PH,21569,kedah,69016.2
P15,sungai petani,kedah,168831,131447,77.86,1187,0,1115,103150,61.1,43318,25.66,20957,12.41,0,0,0,0,1406,0.83,SHAHANIM  MOHAMAD YUSOFF,BN,UMNO,5,27391,0,JOHARI ABDUL,45532,PH,21569,kedah,69016.2
P16,baling,kedah,132182,110353,83.49,1141,0,29137,118018,89.28,5611,4.24,6092,4.61,0,0,0,0,2461,1.86,ABDUL AZEEZ  ABDUL RAHIM,BN,UMNO,4,35356,0,ABDUL AZEEZ ABDUL RAHIM,38557,BN,1074,kedah,69016.2
P16,baling,kedah,132182,110353,83.49,1141,0,29137,118018,89.28,5611,4.24,6092,4.61,0,0,0,0,2461,1.86,JOHARI ABDULLAH,PH,AMANAH,4,8636,0,ABDUL AZEEZ ABDUL RAHIM,38557,BN,1074,kedah,69016.2
P16,baling,kedah,132182,110353,83.49,1141,0,29137,118018,89.28,5611,4.24,6092,4.61,0,0,0,0,2461,1.86,BASIR AB RAHMAN,PEJUANG,PUTRA,4,579,0,ABDUL AZEEZ ABDUL RAHIM,38557,BN,1074,kedah,69016.2
P16,baling,kedah,132182,110353,83.49,1141,0,29137,118018,89.28,5611,4.24,6092,4.61,0,0,0,0,2461,1.86,HASSAN SAAD,PN,PAS,4,64493,1,ABDUL AZEEZ ABDUL RAHIM,38557,BN,1074,kedah,69016.2
P17,padang serai,kedah,133867,92302,68.95,753,133,16260,83331,62.25,23617,17.64,25842,19.3,0,0,0,0,961,0.72,DATUK AZMAN NASRUDIN,PN,BERSATU,6,51637,1,KARUPAIYA MUTUSAMI,31724,PH,8813,kedah,69016.2
P17,padang serai,kedah,133867,92302,68.95,753,133,16260,83331,62.25,23617,17.64,25842,19.3,0,0,0,0,961,0.72,DATUK C. SIVARAJ,BN,MIC,6,2983,0,KARUPAIYA MUTUSAMI,31724,PH,8813,kedah,69016.2
P17,padang serai,kedah,133867,92302,68.95,753,133,16260,83331,62.25,23617,17.64,25842,19.3,0,0,0,0,961,0.72,HAMZAH ABD RAHMAN,PEJUANG,PUTRA,6,424,0,KARUPAIYA MUTUSAMI,31724,PH,8813,kedah,69016.2
P17,padang serai,kedah,133867,92302,68.95,753,133,16260,83331,62.25,23617,17.64,25842,19.3,0,0,0,0,961,0.72,DR MOHAMAD SOFEE RAZAK,PH,PKR,6,35377,0,KARUPAIYA MUTUSAMI,31724,PH,8813,kedah,69016.2
P17,padang serai,kedah,133867,92302,68.95,753,133,16260,83331,62.25,23617,17.64,25842,19.3,0,0,0,0,961,0.72,SREANANDHA RAO,BEBAS,BEBAS,6,846,0,KARUPAIYA MUTUSAMI,31724,PH,8813,kedah,69016.2
P17,padang serai,kedah,133867,92302,68.95,753,133,16260,83331,62.25,23617,17.64,25842,19.3,0,0,0,0,961,0.72,MOHD BAKHRI HASHIM,WARISAN,WARISAN,6,149,0,KARUPAIYA MUTUSAMI,31724,PH,8813,kedah,69016.2
P18,kulim-bandar baharu,kedah,90217,71616,79.38,927,349,13061,62974,69.8,15441,17.12,11306,12.53,0,0,0,0,496,0.55,DATUK SERI SAIFUDDIN NASUTION ISMAIL,PH,PKR,4,21408,0,SAIFUDDIN  NASUTION  ISMAIL,23159,PH,4860,kedah,69016.2
P18,kulim-bandar baharu,kedah,90217,71616,79.38,927,349,13061,62974,69.8,15441,17.12,11306,12.53,0,0,0,0,496,0.55,ROSLAN HASHIM,PN,BERSATU,4,34469,1,SAIFUDDIN  NASUTION  ISMAIL,23159,PH,4860,kedah,69016.2
P18,kulim-bandar baharu,kedah,90217,71616,79.38,927,349,13061,62974,69.8,15441,17.12,11306,12.53,0,0,0,0,496,0.55,MOHD YUSRIZAL YUSOFF,PEJUANG,GAGASAN BANGSA,4,591,0,SAIFUDDIN  NASUTION  ISMAIL,23159,PH,4860,kedah,69016.2
P18,kulim-bandar baharu,kedah,90217,71616,79.38,927,349,13061,62974,69.8,15441,17.12,11306,12.53,0,0,0,0,496,0.55,DATUK MUHAR HUSSAIN,BN,UMNO,4,13872,0,SAIFUDDIN  NASUTION  ISMAIL,23159,PH,4860,kedah,69016.2
P19,tumpat,kelantan,149371,106173,71.08,1233,281,34793,137854,92.29,5437,3.64,209,0.14,0,0,0,0,5855,3.92,KHAIRUL AZUAN KAMARRUDIN,WARISAN,WARISAN,5,245,0,CHE LAH MAT  NAWI,47041,PAS,17500,kelantan,58276.8
P19,tumpat,kelantan,149371,106173,71.08,1233,281,34793,137854,92.29,5437,3.64,209,0.14,0,0,0,0,5855,3.92,DATUK MUMTAZ MD NAWI,PAS,PAS,5,65426,1,CHE LAH MAT  NAWI,47041,PAS,17500,kelantan,58276.8
P19,tumpat,kelantan,149371,106173,71.08,1233,281,34793,137854,92.29,5437,3.64,209,0.14,0,0,0,0,5855,3.92,CHE MUHAMMAD ASEMARI CHE ALI,PUTRA,PUTRA,5,593,0,CHE LAH MAT  NAWI,47041,PAS,17500,kelantan,58276.8
P19,tumpat,kelantan,149371,106173,71.08,1233,281,34793,137854,92.29,5437,3.64,209,0.14,0,0,0,0,5855,3.92,WAN MOHD JOHARI WAN OMAR,PH,AMANAH,5,7762,0,CHE LAH MAT  NAWI,47041,PAS,17500,kelantan,58276.8
P19,tumpat,kelantan,149371,106173,71.08,1233,281,34793,137854,92.29,5437,3.64,209,0.14,0,0,0,0,5855,3.92,DATUK CHE ABDULLAH MAT NAWI,BN,CALON LANGSUNG,5,30633,0,CHE LAH MAT  NAWI,47041,PAS,17500,kelantan,58276.8
P20,pengkalan chepa,kelantan,106982,78659,73.53,630,268,38270,103719,96.95,1968,1.84,128,0.12,0,0,0,0,1166,1.09,MOHAMAD REDZUAN RAZALI,BEBAS,BEBAS,5,451,0,MARZUK SHAARY,32592,PAS,13232,kelantan,58276.8
P20,pengkalan chepa,kelantan,106982,78659,73.53,630,268,38270,103719,96.95,1968,1.84,128,0.12,0,0,0,0,1166,1.09,NIK FAIZAH NIK OTHMAN,PH,AMANAH,5,7356,0,MARZUK SHAARY,32592,PAS,13232,kelantan,58276.8
P20,pengkalan chepa,kelantan,106982,78659,73.53,630,268,38270,103719,96.95,1968,1.84,128,0.12,0,0,0,0,1166,1.09,WAN AHMAD NASRI WAN ISMAIL,PUTRA,PEJUANG,5,358,0,MARZUK SHAARY,32592,PAS,13232,kelantan,58276.8
P20,pengkalan chepa,kelantan,106982,78659,73.53,630,268,38270,103719,96.95,1968,1.84,128,0.12,0,0,0,0,1166,1.09,DATUK AHMAD MARZUK SHAARY,PAS,PAS,5,53933,1,MARZUK SHAARY,32592,PAS,13232,kelantan,58276.8
P20,pengkalan chepa,kelantan,106982,78659,73.53,630,268,38270,103719,96.95,1968,1.84,128,0.12,0,0,0,0,1166,1.09,DR MOHD HAFIEZULNIEZAM MOHD HASDIN,BN,UMNO,5,15663,0,MARZUK SHAARY,32592,PAS,13232,kelantan,58276.8
P21,kota bharu,kelantan,115450,79028,68.45,721,288,22613,97405,84.37,15828,13.71,877,0.76,0,0,0,0,1351,1.17,DATUK SERI TAKIYUDDIN HASSAN,PAS,PAS,6,41869,1,TAKIYUDDIN  HASSAN,28291,PAS,5869,kelantan,58276.8
P21,kota bharu,kelantan,115450,79028,68.45,721,288,22613,97405,84.37,15828,13.71,877,0.76,0,0,0,0,1351,1.17,DR HAFIDZAH MUSTAKIM,PH,AMANAH,6,19256,0,TAKIYUDDIN  HASSAN,28291,PAS,5869,kelantan,58276.8
P21,kota bharu,kelantan,115450,79028,68.45,721,288,22613,97405,84.37,15828,13.71,877,0.76,0,0,0,0,1351,1.17,DATUK SERI ROSMADI ISMAIL,BN,UMNO,6,16168,0,TAKIYUDDIN  HASSAN,28291,PAS,5869,kelantan,58276.8
P21,kota bharu,kelantan,115450,79028,68.45,721,288,22613,97405,84.37,15828,13.71,877,0.76,0,0,0,0,1351,1.17,ANDY TAN @ AWANG,PRM,PRM,6,107,0,TAKIYUDDIN  HASSAN,28291,PAS,5869,kelantan,58276.8
P21,kota bharu,kelantan,115450,79028,68.45,721,288,22613,97405,84.37,15828,13.71,877,0.76,0,0,0,0,1351,1.17,DATUK DR CHE MUSA CHE OMAR,PUTRA,PUTRA,6,528,0,TAKIYUDDIN  HASSAN,28291,PAS,5869,kelantan,58276.8
P21,kota bharu,kelantan,115450,79028,68.45,721,288,22613,97405,84.37,15828,13.71,877,0.76,0,0,0,0,1351,1.17,IZAT BUKHARY,BEBAS,BEBAS,6,91,0,TAKIYUDDIN  HASSAN,28291,PAS,5869,kelantan,58276.8
P22,pasir mas,kelantan,94544,66145,69.96,819,173,30717,91991,97.3,1844,1.95,57,0.06,0,0,0,0,652,0.69,DATUK HUSAM MUSA,PH,AMANAH,4,6439,0,AHMAD FADHLI SHAARI,28080,PAS,13075,kelantan,58276.8
P22,pasir mas,kelantan,94544,66145,69.96,819,173,30717,91991,97.3,1844,1.95,57,0.06,0,0,0,0,652,0.69,AHMAD FADHLI SHAARY,PAS,PAS,4,44444,1,AHMAD FADHLI SHAARI,28080,PAS,13075,kelantan,58276.8
P22,pasir mas,kelantan,94544,66145,69.96,819,173,30717,91991,97.3,1844,1.95,57,0.06,0,0,0,0,652,0.69,DATUK AB GHANI HARUN,BN,UMNO,4,13727,0,AHMAD FADHLI SHAARI,28080,PAS,13075,kelantan,58276.8
P22,pasir mas,kelantan,94544,66145,69.96,819,173,30717,91991,97.3,1844,1.95,57,0.06,0,0,0,0,652,0.69,NASRUL ALI HASAN ABDUL LATIF,PUTRA,PUTRA,4,543,0,AHMAD FADHLI SHAARI,28080,PAS,13075,kelantan,58276.8
P23,rantau panjang,kelantan,93248,61406,65.85,668,0,20636,90115,96.64,1809,1.94,65,0.07,0,0,0,0,1250,1.34,IBRAHIM ALI,PEJUANG,PEJUANG,5,1216,0,SITI ZAILAH YUSOFF,24581,PAS,6150,kelantan,58276.8
P23,rantau panjang,kelantan,93248,61406,65.85,668,0,20636,90115,96.64,1809,1.94,65,0.07,0,0,0,0,1250,1.34,SITI ZAILAH MOHD YUSOFF,PN,PAS,5,37759,1,SITI ZAILAH YUSOFF,24581,PAS,6150,kelantan,58276.8
